illustrator_name,gig_rating,gig_price_from,gig_img_url,gig_url,gig_num_rated,gig_design_type,gig_design_style,client_origins,client_names,illustrator_origins,illustrator_response_times
mewindson,4.9,45,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/192945874/original/45074ea0dfcd30781722c0cc82cdd54355d2102d.jpg",https://www.fiverr.com/mewindson/do-minimal-logo-design?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=11&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=e36ede8d-0bca-4aaf-8fd7-49624ca29540,1000,0,0,Germany,mzwillus,India,1
mrtranscendence,4.9,25,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/110928855/original/c3fc46f6ac4d0287a2511cf5b06144aaa499326d.jpg",https://www.fiverr.com/mrtranscendence/do-minimalist-logo-design?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=12&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=c047aa13-58f0-4cb3-98ae-0445fa17f754,1000,0,0,United States,caitlynlydy,India,3
merryalexa,4.8,20,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/300427605/original/c1fbf39713e96c5eef4fd63b53652fbfccfca0ab.png",https://www.fiverr.com/merryalexa/design-unique-modern-minimalist-and-business-logo-design?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=13&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&seller_online=true&imp_id=efe93099-ffd6-4559-81ce-42299316341f,64,0,0,United States,benjam_rex,Sri Lanka,1
camilozuluagaf,4.9,85,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/69345221/original/849da8ca5c0f44ed9418d1512ea8c1de385f9184.jpg",https://www.fiverr.com/camilozuluagaf/create-brand-logo-identity-and-website?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=14&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=3de1f499-1798-4557-849e-d5a1f37c9529,1000,0,0,United States,cutloosega,Colombia,1
supergf_x,4.8,50,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/179527558/original/a4a1076ede0b96d8e56ebee8f2667637284935d8.jpg",https://www.fiverr.com/supergf_x/design-a-modern-and-luxury-minimalist-business-logo?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=15&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=229eb3b8-a98b-4094-8ff5-b7e62f92e266,1000,0,0,United States,blessingskakos,United Kingdom,1
weperfectionist,4.9,25,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/23197467/original/d4f9121d0d962301e3ef52c1a5217bf003889e2a.jpg",https://www.fiverr.com/weperfectionist/design-an-impressive-logo?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=16&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&seller_online=true&imp_id=a94ef0a1-db96-4904-9365-dc32cee45b0e,1000,0,0,United States,kuma_bear00,United Arab Emirates,1
softriver,4.9,130,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/152144644/original/b3d1df422b12277a3f26d57f263f91b53c044f30.jpg",https://www.fiverr.com/softriver/design-a-cutting-edge-logo-for-your-company?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=17&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&seller_online=true&imp_id=1de0145a-4fad-4ded-b1cc-67c74e1b8c8f,1000,0,0,United States,zayreese,United Kingdom,2
ameliadesigns43,4.9,20,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/285419378/original/a03afba408f5a0abc5473dcdc1c72f1a0b83d6b9.jpg",https://www.fiverr.com/ameliadesigns43/do-unique-modern-minimalist-business-logo-design-for-brand?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=18&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=2ba773e9-2b60-4f56-b0e4-6abdb60153ac,101,0,0,United States,konlygon,United Kingdom,1
shailene_george,4.9,40,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/142024147/original/27b1fb04de81d0ba018311fd4adc95d36f2fb6ce.jpg",https://www.fiverr.com/shailene_george/design-professional-business-logo-with-copyrights?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=19&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&seller_online=true&imp_id=f4a51f09-5230-4f36-bfe9-79a7515428f2,1000,0,0,United States,abmbworkouts,Pakistan,1
markterry15,5,25,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/215100800/original/5fd553fd6fc3516fb438fdbfd7f4c022fae4e258.jpg",https://www.fiverr.com/markterry15/do-flat-modern-minimalist-logo-design?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=20&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&seller_online=true&imp_id=1fed850f-b599-481f-8dba-cad32955c8ee,1000,0,0,United States,dianecapozzi,Pakistan,3
